#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
landlore;landlore;Microsoft MS-DOS;;;;;;;;;;;;;;
ldeath;ldeath;Microsoft MS-DOS;;;;;;;;;;;;;;
ldeath2;ldeath2;Microsoft MS-DOS;;;;;;;;;;;;;;
lem3d;lem3d;Microsoft MS-DOS;;;;;;;;;;;;;;
lemming3;lemming3;Microsoft MS-DOS;;;;;;;;;;;;;;
lemmings;lemmings;Microsoft MS-DOS;;;;;;;;;;;;;;
links386;links386;Microsoft MS-DOS;;;;;;;;;;;;;;
lionking;lionking;Microsoft MS-DOS;;;;;;;;;;;;;;
lostvik;lostvik;Microsoft MS-DOS;;;;;;;;;;;;;;
lotus;lotus;Microsoft MS-DOS;;;;;;;;;;;;;;
luretemp;luretemp;Microsoft MS-DOS;;;;;;;;;;;;;;
maddog;maddog;Microsoft MS-DOS;;;;;;;;;;;;;;
mariott;mariott;Microsoft MS-DOS;;;;;;;;;;;;;;
mcarpet;mcarpet;Microsoft MS-DOS;;;;;;;;;;;;;;
mig29;mig29;Microsoft MS-DOS;;;;;;;;;;;;;;
mk3;mk3;Microsoft MS-DOS;;;;;;;;;;;;;;
mm1;mm1;Microsoft MS-DOS;;;;;;;;;;;;;;
mm2;mm2;Microsoft MS-DOS;;;;;;;;;;;;;;
moonst;moonst;Microsoft MS-DOS;;;;;;;;;;;;;;
morelemm;morelemm;Microsoft MS-DOS;;;;;;;;;;;;;;
mtowers;mtowers;Microsoft MS-DOS;;;;;;;;;;;;;;
nc;nc;Microsoft MS-DOS;;;;;;;;;;;;;;
nfs;nfs;Microsoft MS-DOS;;;;;;;;;;;;;;
night117;night117;Microsoft MS-DOS;;;;;;;;;;;;;;
nomouth;nomouth;Microsoft MS-DOS;;;;;;;;;;;;;;
omf2097;omf2097;Microsoft MS-DOS;;;;;;;;;;;;;;
oregon;oregon;Microsoft MS-DOS;;;;;;;;;;;;;;
origamo;origamo;Microsoft MS-DOS;;;;;;;;;;;;;;
orion;orion;Microsoft MS-DOS;;;;;;;;;;;;;;
pactime;pactime;Microsoft MS-DOS;;;;;;;;;;;;;;
panzerg;panzerg;Microsoft MS-DOS;;;;;;;;;;;;;;
pb2000;pb2000;Microsoft MS-DOS;;;;;;;;;;;;;;
pb4000;pb4000;Microsoft MS-DOS;;;;;;;;;;;;;;
pbworld;pbworld;Microsoft MS-DOS;;;;;;;;;;;;;;
pdolls;pdolls;Microsoft MS-DOS;;;;;;;;;;;;;;
pdreams;pdreams;Microsoft MS-DOS;;;;;;;;;;;;;;
pdreams2;pdreams2;Microsoft MS-DOS;;;;;;;;;;;;;;
pdrive;pdrive;Microsoft MS-DOS;;;;;;;;;;;;;;
pfant;pfant;Microsoft MS-DOS;;;;;;;;;;;;;;
piranha;piranha;Microsoft MS-DOS;;;;;;;;;;;;;;
piratesg;piratesg;Microsoft MS-DOS;;;;;;;;;;;;;;
pm2;pm2;Microsoft MS-DOS;;;;;;;;;;;;;;
pm3;pm3;Microsoft MS-DOS;;;;;;;;;;;;;;
pop2;pop2;Microsoft MS-DOS;;;;;;;;;;;;;;
populous;populous;Microsoft MS-DOS;;;;;;;;;;;;;;
pornpipe;pornpipe;Microsoft MS-DOS;;;;;;;;;;;;;;
porntris;porntris;Microsoft MS-DOS;;;;;;;;;;;;;;
prayford;prayford;Microsoft MS-DOS;;;;;;;;;;;;;;
prehist1;prehist1;Microsoft MS-DOS;;;;;;;;;;;;;;
prehist2;prehist2;Microsoft MS-DOS;;;;;;;;;;;;;;
prince;prince;Microsoft MS-DOS;;;;;;;;;;;;;;
prince2;prince2;Microsoft MS-DOS;;;;;;;;;;;;;;
privat;privat;Microsoft MS-DOS;;;;;;;;;;;;;;
projectx;projectx;Microsoft MS-DOS;;;;;;;;;;;;;;
proto;proto;Microsoft MS-DOS;;;;;;;;;;;;;;
psychop;psychop;Microsoft MS-DOS;;;;;;;;;;;;;;
quarant;quarant;Microsoft MS-DOS;;;;;;;;;;;;;;
railroad;railroad;Microsoft MS-DOS;;;;;;;;;;;;;;
rampart;rampart;Microsoft MS-DOS;;;;;;;;;;;;;;
raptor;raptor;Microsoft MS-DOS;;;;;;;;;;;;;;
rayman;rayman;Microsoft MS-DOS;;;;;;;;;;;;;;
redbaron;redbaron;Microsoft MS-DOS;;;;;;;;;;;;;;
redoctob;redoctob;Microsoft MS-DOS;;;;;;;;;;;;;;
riseotd;riseotd;Microsoft MS-DOS;;;;;;;;;;;;;;
rofchaos;rofchaos;Microsoft MS-DOS;;;;;;;;;;;;;;
rotk3;rotk3;Microsoft MS-DOS;;;;;;;;;;;;;;
rotor;rotor;Microsoft MS-DOS;;;;;;;;;;;;;;
sango;sango;Microsoft MS-DOS;;;;;;;;;;;;;;
sc2000;sc2000;Microsoft MS-DOS;;;;;;;;;;;;;;
screamer;screamer;Microsoft MS-DOS;;;;;;;;;;;;;;
senssoc;senssoc;Microsoft MS-DOS;;;;;;;;;;;;;;
shadoww;shadoww;Microsoft MS-DOS;;;;;;;;;;;;;;
sherlock;sherlock;Microsoft MS-DOS;;;;;;;;;;;;;;
shunter;shunter;Microsoft MS-DOS;;;;;;;;;;;;;;
silvball;silvball;Microsoft MS-DOS;;;;;;;;;;;;;;
simcity;simcity;Microsoft MS-DOS;;;;;;;;;;;;;;
simusex;simusex;Microsoft MS-DOS;;;;;;;;;;;;;;
solarw;solarw;Microsoft MS-DOS;;;;;;;;;;;;;;
ss2;ss2;Microsoft MS-DOS;;;;;;;;;;;;;;
ssf2t;ssf2t;Microsoft MS-DOS;;;;;;;;;;;;;;
starc2;starc2;Microsoft MS-DOS;;;;;;;;;;;;;;
stargunr;stargunr;Microsoft MS-DOS;;;;;;;;;;;;;;
startrek;startrek;Microsoft MS-DOS;;;;;;;;;;;;;;
stratego;stratego;Microsoft MS-DOS;;;;;;;;;;;;;;
stuntc;stuntc;Microsoft MS-DOS;;;;;;;;;;;;;;
su27;su27;Microsoft MS-DOS;;;;;;;;;;;;;;
suprfrog;suprfrog;Microsoft MS-DOS;;;;;;;;;;;;;;
